iso3,year,var,value
ARB,2021,inflation_cpi_annual_pct,2.96581008346286
ARB,2021,unemployment_total_pct,10.8896587837575
ARB,2022,gdp_pc_ppp_const2021,16877.3757576586
ARB,2022,gdp_pc_ppp_current,17925.6530176816
ARB,2022,inflation_cpi_annual_pct,5.0875420085391
ARB,2022,unemployment_total_pct,9.9535706462442
ARB,2023,gdp_pc_ppp_const2021,16752.2099741562
ARB,2023,gdp_pc_ppp_current,18432.9644601223
ARB,2023,inflation_cpi_annual_pct,3.64216403030709
ARB,2023,unemployment_total_pct,9.58139714330624
ARB,2024,gdp_pc_ppp_const2021,16670.6710599318
ARB,2024,gdp_pc_ppp_current,18786.802384025
ARB,2024,inflation_cpi_annual_pct,2.07655387954205
ARB,2024,unemployment_total_pct,9.46123835606295
ARE,2019,gdp_pc_ppp_const2021,68887.8454078333
ARE,2019,gdp_pc_ppp_current,76884.9468983345
ARE,2019,inflation_cpi_annual_pct,-1.93108114782171
ARE,2019,ppp_conv_gdp_lcu_per_intl$,2.1137228012085
ARE,2019,unemployment_total_pct,2.331
ARE,2020,gdp_pc_ppp_const2021,65784.6769384678
ARE,2020,gdp_pc_ppp_current,65352.8344182277
ARE,2020,inflation_cpi_annual_pct,-2.0794031794094
ARE,2020,ppp_conv_gdp_lcu_per_intl$,2.08898448944092
ARE,2020,unemployment_total_pct,4.294
ARE,2021,gdp_pc_ppp_const2021,67401.1212929253
ARE,2021,gdp_pc_ppp_current,67401.1212929253
ARE,2021,inflation_cpi_annual_pct,0.17993533617437
ARE,2021,ppp_conv_gdp_lcu_per_intl$,2.36256718635559
ARE,2021,unemployment_total_pct,3.105
ARE,2022,gdp_pc_ppp_const2021,68867.8259301261
ARE,2022,gdp_pc_ppp_current,73777.7443945251
ARE,2022,inflation_cpi_annual_pct,5.29122604376852
ARE,2022,ppp_conv_gdp_lcu_per_intl$,2.48386988256502
ARE,2022,unemployment_total_pct,2.872
ARE,2023,gdp_pc_ppp_const2021,68577.5405629086
ARE,2023,gdp_pc_ppp_current,76110.3848420758
ARE,2023,inflation_cpi_annual_pct,1.62670837213252
ARE,2023,ppp_conv_gdp_lcu_per_intl$,2.36632559210941
ARE,2023,unemployment_total_pct,2.151
ARE,2024,gdp_pc_ppp_const2021,68584.65491599
ARE,2024,gdp_pc_ppp_current,77958.8954093036
ARE,2024,inflation_cpi_annual_pct,1.66336510224892
ARE,2024,ppp_conv_gdp_lcu_per_intl$,2.32608612629563
ARE,2024,unemployment_total_pct,2.133
ARG,2019,gdp_pc_ppp_const2021,26629.5529419501
ARG,2019,gdp_pc_ppp_current,23516.8261980886
ARG,2019,gini,43.3
ARG,2019,inflation_cpi_annual_pct,53.5483043492339
ARG,2019,ppp_conv_gdp_lcu_per_intl$,20.3836688995361
ARG,2019,unemployment_total_pct,9.843
ARG,2020,gdp_pc_ppp_const2021,23877.0931404855
ARG,2020,gdp_pc_ppp_current,22393.3479575353
ARG,2020,gini,42.7
ARG,2020,inflation_cpi_annual_pct,42.0150947376509
ARG,2020,ppp_conv_gdp_lcu_per_intl$,26.8871841430664
ARG,2020,unemployment_total_pct,11.461
ARG,2021,gdp_pc_ppp_const2021,26300.274261175
ARG,2021,gdp_pc_ppp_current,26300.274261175
ARG,2021,gini,42.4
ARG,2021,inflation_cpi_annual_pct,48.4093786255199
